iter	Passed	Remaining
0	0	52
1	0	45
2	1	41
3	1	40
4	2	40
5	2	39
6	2	38
7	3	38
8	3	38
9	4	37
10	4	37
11	4	36
12	5	35
13	5	35
14	6	34
15	6	34
16	6	33
17	7	33
18	7	32
19	8	32
20	8	31
21	8	31
22	9	30
23	9	30
24	9	29
25	10	29
26	10	28
27	10	28
28	11	27
29	11	27
30	12	27
31	12	26
32	12	26
33	13	25
34	13	25
35	14	25
36	14	24
37	14	24
38	15	24
39	15	23
40	16	23
41	16	22
42	16	22
43	17	22
44	17	21
45	18	21
46	18	20
47	18	20
48	19	20
49	19	19
50	20	19
51	20	18
52	20	18
53	21	18
54	21	17
55	21	17
56	22	16
57	22	16
58	22	15
59	23	15
60	23	15
61	23	14
62	24	14
63	24	13
64	25	13
65	25	13
66	25	12
67	26	12
68	26	11
69	26	11
70	27	11
71	27	10
72	28	10
73	28	10
74	28	9
75	29	9
76	29	8
77	30	8
78	30	8
79	31	7
80	31	7
81	32	7
82	32	6
83	33	6
84	33	5
85	33	5
86	34	5
87	34	4
88	35	4
89	35	3
90	35	3
91	36	3
92	36	2
93	37	2
94	37	1
95	37	1
96	38	1
97	38	0
98	38	0
99	39	0
