iter	Passed	Remaining
0	1	1123
1	1	837
2	2	707
3	2	645
4	2	594
5	3	557
6	3	531
7	4	527
8	4	515
9	5	496
10	5	486
11	5	473
12	6	462
13	6	456
14	6	453
15	7	448
16	7	449
17	8	445
18	8	442
19	9	441
20	9	435
21	9	433
22	10	431
23	10	430
24	10	426
25	11	424
26	11	421
27	12	420
28	12	416
29	12	414
30	13	411
31	13	410
32	13	408
33	14	407
34	14	406
35	15	405
36	15	404
37	15	403
38	16	405
39	16	406
40	17	409
41	18	414
42	18	414
43	18	412
44	19	411
45	19	409
46	20	408
47	20	406
48	20	404
49	21	402
50	21	401
51	22	401
52	22	400
53	22	399
54	23	398
55	23	397
56	23	396
57	24	395
58	24	395
59	25	394
60	25	393
61	25	392
62	26	391
63	26	390
64	27	389
65	27	387
66	27	386
67	28	385
68	28	384
69	28	383
70	29	382
71	29	380
72	29	380
73	30	379
74	30	377
75	31	378
76	31	378
77	31	377
78	32	376
79	32	376
80	33	375
81	33	374
82	33	372
83	34	371
84	34	370
85	34	369
86	35	368
87	35	368
88	35	367
89	36	366
90	36	366
91	37	365
92	37	364
93	37	363
94	38	362
95	38	361
96	38	360
97	39	360
98	39	359
99	39	358
100	40	358
101	40	357
102	40	357
103	41	356
104	41	355
105	42	355
106	42	354
107	42	354
108	43	353
109	43	353
110	44	352
111	44	351
112	44	352
113	45	351
114	45	352
115	46	352
116	46	351
117	47	351
118	47	351
119	47	350
120	48	350
121	48	349
122	48	349
123	49	348
124	49	348
125	50	348
126	50	348
127	51	348
128	51	347
129	51	347
130	52	346
131	52	346
132	53	345
133	53	345
134	53	344
135	54	344
136	54	344
137	55	343
138	55	343
139	55	342
140	56	342
141	56	340
142	56	341
143	57	340
144	57	340
145	58	339
146	58	339
147	58	339
148	59	338
149	59	339
150	60	339
151	60	339
152	61	338
153	61	338
154	62	338
155	62	338
156	62	337
157	63	337
158	63	336
159	64	336
160	64	334
161	64	334
162	65	334
163	65	334
164	66	334
165	66	333
166	66	333
167	67	333
168	67	333
169	68	333
170	68	332
171	69	332
172	69	332
173	69	331
174	70	331
175	70	330
176	71	330
177	71	330
178	71	329
179	72	329
180	72	328
181	73	328
182	73	328
183	73	327
184	74	327
185	74	327
186	75	327
187	75	326
188	76	326
189	76	325
190	76	325
191	77	325
192	77	324
193	78	324
194	78	324
195	78	323
196	79	323
197	79	322
198	80	322
199	80	322
200	81	322
201	81	321
202	81	321
203	82	320
204	82	320
205	83	320
206	83	319
207	83	319
208	84	318
209	84	318
210	85	318
211	85	317
212	85	317
213	86	317
214	86	317
215	87	316
216	87	316
217	88	315
218	88	315
219	88	314
220	89	314
221	89	314
222	90	314
223	90	314
224	91	313
225	91	313
226	91	313
227	92	312
228	92	312
229	93	314
230	94	313
231	94	313
232	95	313
233	95	312
234	95	312
235	96	311
236	96	311
237	97	311
238	97	310
239	97	310
240	98	309
241	98	309
242	99	309
243	99	308
244	99	308
245	100	307
246	100	307
247	101	306
248	101	306
249	101	305
250	102	305
251	102	305
252	103	304
253	103	304
254	104	305
255	105	305
256	105	305
257	106	305
258	106	304
259	106	304
260	107	304
261	107	303
262	108	303
263	108	302
264	109	302
265	109	302
266	109	301
267	110	301
268	110	300
269	111	300
270	111	300
271	111	299
272	112	299
273	112	298
274	113	298
275	113	298
276	114	297
277	114	297
278	114	296
279	115	296
280	115	295
281	116	295
282	116	295
283	116	294
284	117	294
285	117	293
286	118	293
287	118	292
288	119	293
289	119	293
290	120	292
291	120	292
292	121	292
293	121	291
294	121	291
295	122	290
296	122	290
297	123	289
